unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1593241200,27/6/2020 7:00,ETH/USD,230.36,230.52,229.8,230.3,81765.58,355.24
1593237600,27/6/2020 6:00,ETH/USD,229.41,230.46,229.34,230.36,66214.78,288.07
1593234000,27/6/2020 5:00,ETH/USD,229.25,229.65,228.91,229.41,83100.41,362.46
1593230400,27/6/2020 4:00,ETH/USD,229.46,229.61,228.64,229.25,77445.96,338.27
1593226800,27/6/2020 3:00,ETH/USD,228.98,230.09,228.71,229.46,152672.44,665.36
1593223200,27/6/2020 2:00,ETH/USD,229.14,229.38,228.59,228.98,42910.86,187.47
1593219600,27/6/2020 1:00,ETH/USD,229.29,229.65,227.58,229.14,265188.3,1159.88
1593216000,27/6/2020 0:00,ETH/USD,229.31,229.75,228.23,229.29,195615.11,854.64
1593212400,26/6/2020 23:00,ETH/USD,229.91,230.16,229.25,229.31,241271.65,1050.99
1593208800,26/6/2020 22:00,ETH/USD,230.33,230.89,229.65,229.91,126301.38,548.29
1593205200,26/6/2020 21:00,ETH/USD,230.08,231.48,230.08,230.33,138889.38,602.05
1593201600,26/6/2020 20:00,ETH/USD,230.14,230.7,229.82,230.08,164786.82,715.54
1593198000,26/6/2020 19:00,ETH/USD,229.27,230.14,229.01,230.14,158732.7,691.09
1593194400,26/6/2020 18:00,ETH/USD,229.35,230.09,229.09,229.27,138576.12,603.62
1593190800,26/6/2020 17:00,ETH/USD,229.2,230.1,229.11,229.35,70331.17,306.31
1593187200,26/6/2020 16:00,ETH/USD,229.82,229.97,227.87,229.2,409692.02,1789.67
1593183600,26/6/2020 15:00,ETH/USD,228.61,231.28,228.58,229.82,687467.02,2987.03
1593180000,26/6/2020 14:00,ETH/USD,229.68,230.49,227.26,228.61,1643565.08,7195.09
1593176400,26/6/2020 13:00,ETH/USD,231.4,231.91,229.68,229.68,745080.66,3223.4
1593172800,26/6/2020 12:00,ETH/USD,230.34,231.88,230.32,231.4,909097.84,3931.15
1593169200,26/6/2020 11:00,ETH/USD,231.3,231.39,229.11,230.34,262571.41,1140.98
1593165600,26/6/2020 10:00,ETH/USD,231.07,231.96,230.74,231.3,133340.41,576.31
1593162000,26/6/2020 9:00,ETH/USD,229.18,231.52,228.04,231.07,403741.95,1757.68
1593158400,26/6/2020 8:00,ETH/USD,228.77,230.21,228.38,229.18,384771.63,1678.91
1593154800,26/6/2020 7:00,ETH/USD,231.16,231.16,227.77,228.77,1815533.1,7926.4
1593151200,26/6/2020 6:00,ETH/USD,231.2,231.59,230.4,231.16,184445.34,798.29
1593147600,26/6/2020 5:00,ETH/USD,232.52,232.77,230.76,231.2,579189.92,2500.22
1593144000,26/6/2020 4:00,ETH/USD,232.11,232.86,231.68,232.52,199493.03,859.28
1593140400,26/6/2020 3:00,ETH/USD,231.95,232.19,231.21,232.11,59898.15,258.44
1593136800,26/6/2020 2:00,ETH/USD,232.43,232.43,231.84,231.95,118229.98,509.35
1593133200,26/6/2020 1:00,ETH/USD,232.97,233.35,232.43,232.43,120762.74,518.57
1593129600,26/6/2020 0:00,ETH/USD,232.44,233.2,230.53,232.97,713159.35,3074.11
1593126000,25/6/2020 23:00,ETH/USD,232.69,232.8,232,232.44,265208.16,1141.04
1593122400,25/6/2020 22:00,ETH/USD,234.12,234.45,231.16,232.69,979813.72,4212.57
1593118800,25/6/2020 21:00,ETH/USD,233.47,234.91,233.47,234.12,253502.16,1081.89
1593115200,25/6/2020 20:00,ETH/USD,233.79,234.07,233.44,233.47,99788.87,426.97
1593111600,25/6/2020 19:00,ETH/USD,232.94,233.82,232.17,233.79,387170.82,1661.61
1593108000,25/6/2020 18:00,ETH/USD,233.39,233.81,232.8,232.94,293403.29,1257.7
1593104400,25/6/2020 17:00,ETH/USD,233.97,234.02,232.9,233.39,61265.14,262.44
1593100800,25/6/2020 16:00,ETH/USD,233.55,234.38,232.73,233.97,184037.77,787.44
1593097200,25/6/2020 15:00,ETH/USD,233.71,234.29,232.9,233.55,134529.85,575.74
1593093600,25/6/2020 14:00,ETH/USD,232.41,234.53,232.41,233.71,504749.11,2158.05
1593090000,25/6/2020 13:00,ETH/USD,231.8,233.18,231.4,232.41,528012.24,2269.49
1593086400,25/6/2020 12:00,ETH/USD,234.18,234.31,231.4,231.8,652094.45,2807.08
1593082800,25/6/2020 11:00,ETH/USD,233.62,235.21,233.13,234.18,472809.2,2019.09
1593079200,25/6/2020 10:00,ETH/USD,233.49,234.35,233.39,233.62,1416973.29,6061.83
1593075600,25/6/2020 9:00,ETH/USD,234.21,234.64,233.49,233.49,364626.25,1557.7
1593072000,25/6/2020 8:00,ETH/USD,231.14,234.91,231.14,234.21,749429.66,3210.52
1593068400,25/6/2020 7:00,ETH/USD,231.89,232.2,230.2,231.14,231937.79,1003.69
1593064800,25/6/2020 6:00,ETH/USD,231.67,232.4,231.49,231.89,95659.07,412.44
1593061200,25/6/2020 5:00,ETH/USD,229.72,232.16,229.13,231.67,303760.92,1314.28
1593057600,25/6/2020 4:00,ETH/USD,229.21,230.51,229.12,229.72,793207.39,3448.21
1593054000,25/6/2020 3:00,ETH/USD,233.07,233.07,227,229.21,2518175.4,10953.07
1593050400,25/6/2020 2:00,ETH/USD,233.84,233.97,232.06,233.07,195365.8,838.97
1593046800,25/6/2020 1:00,ETH/USD,233.56,235.04,233.56,233.84,192445.74,820.1
1593043200,25/6/2020 0:00,ETH/USD,234.43,234.67,233.08,233.56,253679.59,1085.25
