unix,date,symbol,open,high,low,close,Volume BCH,Volume USD
1531281600,11/7/2018 4:00,BCH/USD,695.26,696.22,688.07,695.59,19387.58,28.05
1531278000,11/7/2018 3:00,BCH/USD,693.51,698.59,693.1,695.26,103506.73,148.77
1531274400,11/7/2018 2:00,BCH/USD,691.37,694.78,691.37,693.51,16546.19,23.9
1531270800,11/7/2018 1:00,BCH/USD,695.75,697.55,691.37,691.37,71181.29,102.58
1531267200,11/7/2018 0:00,BCH/USD,685.82,699.94,684.31,695.75,188405.46,271.29
1531263600,10/7/2018 23:00,BCH/USD,694.59,694.59,683.64,685.82,169909.79,247.69
1531260000,10/7/2018 22:00,BCH/USD,695.79,696.73,693.3,694.59,12924.81,18.6
1531256400,10/7/2018 21:00,BCH/USD,696.8,702.18,695.7,695.79,52826.67,75.38
1531252800,10/7/2018 20:00,BCH/USD,693.94,699.04,693.94,696.8,29065.82,41.74
1531249200,10/7/2018 19:00,BCH/USD,691.98,694.37,690.32,693.94,419393.42,606.44
1531245600,10/7/2018 18:00,BCH/USD,694.67,695.06,691.19,691.98,107153.52,154.77
1531242000,10/7/2018 17:00,BCH/USD,694.65,695.02,691.03,694.67,42998.69,62.09
1531238400,10/7/2018 16:00,BCH/USD,698.14,701.43,691.28,694.65,93804.26,134.72
1531234800,10/7/2018 15:00,BCH/USD,695.94,698.42,693.07,698.14,27073.45,38.95
1531231200,10/7/2018 14:00,BCH/USD,695.17,697.78,688.7,695.94,91038.41,131.25
1531227600,10/7/2018 13:00,BCH/USD,696.66,700.17,693.68,695.17,98732.82,141.83
1531224000,10/7/2018 12:00,BCH/USD,694.93,698.81,690.32,696.66,171728.9,247.34
1531220400,10/7/2018 11:00,BCH/USD,704.81,704.98,687,694.93,271977.27,392.92
1531216800,10/7/2018 10:00,BCH/USD,708.56,710.69,699.76,704.81,512209.62,728.95
1531213200,10/7/2018 9:00,BCH/USD,719.81,720.99,706.96,708.56,875480.77,1230.33
1531209600,10/7/2018 8:00,BCH/USD,721.6,724.99,717.11,719.81,16749.23,23.19
1531206000,10/7/2018 7:00,BCH/USD,719,722.89,715.82,721.6,189813.06,263.99
1531202400,10/7/2018 6:00,BCH/USD,717.28,722.05,714.95,719,78519.49,109.29
1531198800,10/7/2018 5:00,BCH/USD,729.46,729.64,717.28,717.28,75639.94,104.97
1531195200,10/7/2018 4:00,BCH/USD,723.39,733.05,720.47,729.46,36456.46,50.4
1531191600,10/7/2018 3:00,BCH/USD,723.54,725.36,718.1,723.39,52193.95,72.53
1531188000,10/7/2018 2:00,BCH/USD,731.17,731.17,722.07,723.54,28316.14,39.08
1531184400,10/7/2018 1:00,BCH/USD,731.14,732.74,727.51,731.17,4207.89,5.75
1531180800,10/7/2018 0:00,BCH/USD,728.75,737,726.99,731.14,46357.81,63.41
1531177200,9/7/2018 23:00,BCH/USD,737.41,738.49,725.64,728.75,67149.98,91.95
1531173600,9/7/2018 22:00,BCH/USD,743.03,759.29,736,737.41,256583.47,343.5
1531170000,9/7/2018 21:00,BCH/USD,739.59,743.51,739.16,743.03,11821.5,15.96
1531166400,9/7/2018 20:00,BCH/USD,741.8,744.1,739.24,739.59,27059.76,36.55
1531162800,9/7/2018 19:00,BCH/USD,742.68,743.64,738.91,741.8,25637.04,34.59
1531159200,9/7/2018 18:00,BCH/USD,737.99,742.68,734.65,742.68,30620.22,41.51
1531155600,9/7/2018 17:00,BCH/USD,743.99,744.99,733.82,737.99,128142.27,173.4
1531152000,9/7/2018 16:00,BCH/USD,748.99,751.24,737.02,743.99,48837.45,65.77
1531148400,9/7/2018 15:00,BCH/USD,751,753,748.99,748.99,19692.86,26.16
1531144800,9/7/2018 14:00,BCH/USD,751.36,752,749.9,751,3324.84,4.428
1531141200,9/7/2018 13:00,BCH/USD,748.95,754,746.52,751.36,50074.13,66.92
1531137600,9/7/2018 12:00,BCH/USD,753.6,753.99,746.81,748.95,49703.65,66.24
1531134000,9/7/2018 11:00,BCH/USD,748.9,755,748.9,753.6,53127.83,70.54
1531130400,9/7/2018 10:00,BCH/USD,750.73,752.77,748.9,748.9,21065.56,28.11
1531126800,9/7/2018 9:00,BCH/USD,749.2,750.8,742.75,750.73,67538.67,90.1
1531123200,9/7/2018 8:00,BCH/USD,753.79,753.79,746.14,749.2,11399.4,15.18
1531119600,9/7/2018 7:00,BCH/USD,745.73,753.99,745.67,753.79,26170.31,34.95
1531116000,9/7/2018 6:00,BCH/USD,744.44,746.99,744.44,745.73,35062.16,47.01
1531112400,9/7/2018 5:00,BCH/USD,743.52,746.6,743.5,744.44,8191.62,11
1531108800,9/7/2018 4:00,BCH/USD,749.5,749.5,743.52,743.52,948.37,1.272
1531105200,9/7/2018 3:00,BCH/USD,748.07,749.5,746.92,749.5,10332.28,13.81
1531101600,9/7/2018 2:00,BCH/USD,743.25,750.22,735.7,748.07,51144.22,68.68
1531098000,9/7/2018 1:00,BCH/USD,751.88,751.88,742.25,743.25,20474,27.47
1531094400,9/7/2018 0:00,BCH/USD,747.45,754.28,743.65,751.88,91519.72,122.13
1531090800,8/7/2018 23:00,BCH/USD,768.1,769.92,739.75,747.45,129238.77,172.1
1531087200,8/7/2018 22:00,BCH/USD,767.17,769.97,765.22,768.1,25531.82,33.17
1531083600,8/7/2018 21:00,BCH/USD,767.2,767.98,765.2,767.17,19174.9,25
1531080000,8/7/2018 20:00,BCH/USD,768.31,768.31,764.1,767.2,22447.23,29.3
1531076400,8/7/2018 19:00,BCH/USD,766.68,768.31,765.2,768.31,8616.71,11.23
1531072800,8/7/2018 18:00,BCH/USD,764.2,768.36,763.67,766.68,41103.71,53.65
1531069200,8/7/2018 17:00,BCH/USD,763.31,765.34,763.31,764.2,23321.58,30.52
1531065600,8/7/2018 16:00,BCH/USD,764.21,766.69,763.31,763.31,36807.33,48.12
1531062000,8/7/2018 15:00,BCH/USD,764.9,771.99,762.87,764.21,47996.13,62.44
1531058400,8/7/2018 14:00,BCH/USD,761.68,764.9,759.18,764.9,23095.86,30.35
1531054800,8/7/2018 13:00,BCH/USD,758.67,767,758.67,761.68,11018.31,14.45
1531051200,8/7/2018 12:00,BCH/USD,762.09,764.98,758.67,758.67,9521.02,12.51
1531047600,8/7/2018 11:00,BCH/USD,760.39,762.18,759.52,762.09,7830.58,10.3
1531044000,8/7/2018 10:00,BCH/USD,765.42,766.43,760.38,760.39,34357.32,44.92
1531040400,8/7/2018 9:00,BCH/USD,760.32,769.34,760.32,765.42,104208.13,135.87
1531036800,8/7/2018 8:00,BCH/USD,763.35,763.35,757.34,760.32,23109.77,30.4
1531033200,8/7/2018 7:00,BCH/USD,766.7,768.72,763.35,763.35,15091.54,19.72
1531029600,8/7/2018 6:00,BCH/USD,766.86,770.2,766.7,766.7,43840.73,57.07
1531026000,8/7/2018 5:00,BCH/USD,760.82,769.94,760.82,766.86,17167.53,22.38
